Sample ,Blank,P abs 1 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,Avg,Normalised T,Conc T ,T/P,RUN.ID 
77C.4.2,0.042100001,0.074199997,0.075999998,0.075099997,0.075099997,-0.000791463,0.039099999,0.107600003,0.110100001,0.108850002,0.108850002,0.039857533,-50.35929371,RUN 5 
77C.5.1,0.041999999,0.090999998,0.090999998,0.090999998,0.090999998,0.062128999,0.043200001,0.111599997,0.102700002,0.10715,0.10715,0.037935323,0.610589632,RUN 5 
77C.5.2,0.0427,0.080899999,0.081500001,0.0812,0.0812,0.023347843,0.040399998,0.094599999,0.100000001,0.0973,0.0973,0.02679783,1.147764687,RUN 5 
77C.6.1,0.0493,0.073700003,0.0836,0.078650001,0.078650001,0.013256832,0.046599999,0.110100001,0.1149,0.112500001,0.112500001,0.043984623,3.317883437,RUN 5 
77D.3.1,0.043900002,0.0814,0.085299999,0.083349999,0.083349999,0.031855952,0.046,0.115699999,0.111100003,0.113400001,0.113400001,0.045002263,1.412679891,RUN 5 
77D.3.2,0.046500001,0.093800001,0.094800003,0.094300002,0.094300002,0.075187977,0.048300002,0.173500001,0.1831,0.178300001,0.178300001,0.118385347,1.574524959,RUN 5 
77D.4.1,0.043200001,0.072499998,0.083400004,0.077950001,0.077950001,0.010486746,0.041000001,0.126800001,0.154200003,0.140500002,0.140500002,0.075644507,7.213343889,RUN 5 
77D.4.2,0.042599998,0.082900003,,0.082900003,0.082900003,0.030075198,0.041499998,0.119800001,0.131300002,0.125550002,0.125550002,0.058740391,1.953117335,RUN 5 
77D.5.1,0.0427,0.0902,0.090700001,0.09045,0.09045,0.059952513,0.042100001,0.101999998,0.112999998,0.107499998,0.107499998,0.03833107,0.639357182,RUN 5 
77D.5.2,0.0429,0.086499996,0.090700001,0.088599999,0.088599999,0.052631573,0.0427,0.1259,0.091600001,0.108750001,0.108750001,0.03974446,0.755144829,RUN 5 
77D.6.1,,0.08,0.08,0.0768,,0.047553411,,0.085199997,0.081299998,0.083249997,,0.136407059,2.868502073,RUN 6 
77D.6.2,,0.100100003,0.0995,0.099800002,,0.126809103,,0.1039,0.104400001,0.104150001,,0.236263741,1.863144951,RUN 6 
