Sample ,Blank,P abs 1 ,P abs 2 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P
B6.77C.3,0.058600001,0.103200004,0.113700002,0.116099998,0.111000001,0.0524,0.222980782,0.161899999,0.159700006,0.151600003,0.158500001,0.156600003,0.464500015,0.456064516,2.045308625
B6.77D.2,0.042100001,0.058499999,0.057500001,0.057999998,0.058,0.015899998,-0.085489911,0.042100001,0.054000001,0.0568,0.057,0.055933334,0.181633335,0.131819396,-1.541929265
B6.77D.4,0.048,0.093400002,0.097199999,0.096699998,0.095766666,0.047766666,0.1343197,0.042599998,0.184300005,0.177900001,0.187199995,0.183133334,0.689933337,0.714474785,5.319210709
B7.07A.1,0.049699999,0.102799997,0.1021,0.116700001,0.107199999,0.0575,0.205116549,0.040800001,0.144099995,0.146200001,0.146799996,0.145699998,0.541999989,0.470612978,2.29436864
B7.07A.2,0.042199999,0.108000003,0.1052,0.103699997,0.105633333,0.063433334,0.19564405,0.038699999,0.062600002,0.066200003,0.067299999,0.065366668,0.222766673,0.155882392,0.796765313
B7.07B.3,0.0383,0.042599998,0.041900001,0.041999999,0.042166666,0.003866666,-0.188093157,0.040199999,0.042300001,0.0418,0.042100001,0.042066667,0.12806667,0.062518117,-0.332378479
B7.07B.2,0.046999998,0.104199998,0.104099996,0.105300002,0.104533332,0.057533334,0.188993135,0.039700001,0.099799998,0.096799999,0.098399997,0.098333331,0.353633324,0.284903193,1.507479057
B7.07C.3,0.052000001,0.096100003,0.098300003,0.092,0.095466668,0.043466667,0.134173552,0.0436,0.141000003,0.149599999,0.155200005,0.148600002,0.550800008,0.479288874,3.572156112
B7.07C.4,0.041200001,0.043699998,0.0438,0.043200001,0.043566667,0.002366666,-0.179628365,0.0394,0.042800002,0.042399999,0.042300001,0.0425,0.130600002,0.065015717,-0.361945713
B7.07D.4,0.055,0.101899996,0.096500002,0.100599997,0.099666665,0.044666665,-0.172977465,0.045600001,0.145099998,0.151800007,0.155300006,0.150733337,0.557333346,0.485730061,-2.808053996
B7.07D.3,0.041700002,0.042399999,0.0425,0.041999999,0.0423,0.000599998,-0.187286987,0.0451,0.044100001,0.044300001,0.044,0.044133334,0.131433337,0.065837298,-0.351531617
B7.77A.2,0.050000001,0.104400001,0.100900002,0.1065,0.103933334,0.053933334,0.185365381,0.0438,0.162400007,0.162599996,0.175500005,0.166833336,0.623533345,0.550996319,2.972487728
B7.77A.1,0.056899998,0.1105,0.111599997,0.103100002,0.1084,0.051500001,0.212372087,0.043299999,0.147699997,0.152799994,0.1426,0.147699997,0.547499988,0.476035401,2.241515852
B7.77B.3,0.052000001,0.118199997,0.115000002,0.1131,0.115433333,0.063433332,0.254897586,0.0436,0.135499999,0.126300007,0.123800002,0.128533336,0.470533344,0.400154357,1.56986327
B7.77B.3,0.0429,0.088299997,0.093500003,0.093000002,0.091600001,0.048700001,0.110794599,0.040600002,0.127700001,0.126499996,0.1329,0.129033332,0.475533326,0.405083816,3.656169329
B7.77C.2,0.038400002,0.052099999,0.051899999,0.052700002,0.052233333,0.013833332,-0.127227275,0.039900001,0.055300001,0.057,0.0583,0.056866667,0.187566667,0.121178876,-0.952459894
B7.77C.3,0.057700001,0.110100001,0.104199998,0.108599998,0.107633332,0.049933332,0.207736603,0.0438,0.195500001,0.2042,0.195099995,0.198266665,0.74926666,0.674956189,3.249096108
B7.77D.1,0.049199998,0.107900001,0.1061,0.106299996,0.106766666,0.057566668,0.202496496,0.0427,0.140599996,0.134200007,0.139200002,0.138000002,0.509300006,0.438374222,2.164848439
B7.77D.4,0.050900001,0.110100001,0.1061,0.109800003,0.108666668,0.057766667,0.213984441,0.0436,0.184300005,0.180099994,0.180700004,0.181700001,0.683200004,0.609821391,2.84983987
